Year,Month,Day,DayOfWeek,Flight_Date,UniqueCarrier,Tai_lNum,FlightNum,Origin_Airport,Origin_City_Name,Origin_State,Scheduled_Departure,Departure_Time,Dep_Delay,DepDel15,Dep_Delay_Groups,Scheduled_Arrival,Arrival_Time,Arrival_Delay,Arr_Delay_Minutes,Arr_Del_morethan15,Cancelled,Diverted,Distance,DistanceGroup,Carrier_Delay,WeatherDelay,NAS_Delay,Security_Delay,Late_Aircraft_Delay,Top_Carriers,Top_Origin,DEPTIME_GROUP1,DEPTIME_GROUP2,DEPTIME_GROUP3
2016,7,11,1,11/07/2016,AA,N783AA,3,JFK,"New York, NY",NY,1245,1241,-4,0,-1,1545,1528,-17,0,0,0,0,2475,10,0,0,0,0,0,1,1,1200-1800,1200-1400,1200-1300
2016,7,12,2,12/07/2016,AA,N799AA,3,JFK,"New York, NY",NY,1245,1237,-8,0,-1,1545,1508,-37,0,0,0,0,2475,10,0,0,0,0,0,1,1,1200-1800,1200-1400,1200-1300
2016,7,13,3,13/07/2016,AA,N794AA,3,JFK,"New York, NY",NY,1245,1329,44,1,2,1545,1615,30,30,1,0,0,2475,10,30,0,0,0,0,1,1,1200-1800,1200-1400,1300-1400
2016,7,14,4,14/07/2016,AA,N791AA,3,JFK,"New York, NY",NY,1245,1243,-2,0,-1,1545,1533,-12,0,0,0,0,2475,10,0,0,0,0,0,1,1,1200-1800,1200-1400,1200-1300
2016,7,15,5,15/07/2016,AA,N792AA,3,JFK,"New York, NY",NY,1245,1529,164,1,10,1545,1833,168,168,1,0,0,2475,10,18,0,4,0,146,1,1,1200-1800,1400-1600,1500-1600
2016,7,16,6,16/07/2016,AA,N795AA,3,JFK,"New York, NY",NY,1245,1242,-3,0,-1,1545,1545,0,0,0,0,0,2475,10,0,0,0,0,0,1,1,1200-1800,1200-1400,1200-1300
2016,7,17,7,17/07/2016,AA,N797AA,3,JFK,"New York, NY",NY,1245,1421,96,1,6,1545,1702,77,77,1,0,0,2475,10,6,0,0,0,71,1,1,1200-1800,1400-1600,1400-1500
2016,7,18,1,18/07/2016,AA,N789AA,3,JFK,"New York, NY",NY,1245,1900,375,1,12,1545,2153,368,368,1,0,0,2475,10,0,0,87,0,281,1,1,1800-2359,1800-2000,1800-1900
2016,7,19,2,19/07/2016,AA,N793AA,3,JFK,"New York, NY",NY,1245,1242,-3,0,-1,1545,1516,-29,0,0,0,0,2475,10,0,0,0,0,0,1,1,1200-1800,1200-1400,1200-1300
2016,7,20,3,20/07/2016,AA,N794AA,3,JFK,"New York, NY",NY,1245,1514,149,1,9,1545,1800,135,135,1,0,0,2475,10,0,0,0,0,135,1,1,1200-1800,1400-1600,1500-1600
2016,7,21,4,21/07/2016,AA,N788AA,3,JFK,"New York, NY",NY,1245,1241,-4,0,-1,1545,1514,-31,0,0,0,0,2475,10,0,0,0,0,0,1,1,1200-1800,1200-1400,1200-1300
2016,7,22,5,22/07/2016,AA,N784AA,3,JFK,"New York, NY",NY,1245,1242,-3,0,-1,1545,1515,-30,0,0,0,0,2475,10,0,0,0,0,0,1,1,1200-1800,1200-1400,1200-1300
2016,7,23,6,23/07/2016,AA,N795AA,3,JFK,"New York, NY",NY,1245,1241,-4,0,-1,1545,1518,-27,0,0,0,0,2475,10,0,0,0,0,0,1,1,1200-1800,1200-1400,1200-1300
